group_id,page_id,qa_id,question,answer,similarity_score,action,kept_qa_id
exact-037,00-torque-specs-008,00-torque-specs-008-q01,What is the maximum tightening torque for an M14 8.8 screw?,130 Nm (ft. lbs.),1.0,kept,00-torque-specs-008-q01
exact-037,bmwtorquespecs-008,bmwtorquespecs-008-q01,What is the maximum tightening torque for an M14 8.8 screw?,130 Nm (ft. lbs.),1.0,dropped,00-torque-specs-008-q01
exact-038,00-torque-specs-008,00-torque-specs-008-q05,What BMW standard should I refer to for tightening torque ranges?,BMW N 600 02.0,1.0,kept,00-torque-specs-008-q05
exact-038,bmwtorquespecs-007,bmwtorquespecs-007-q04,What BMW standard should I refer to for tightening torque ranges?,BMW N 600 02.0,1.0,dropped,00-torque-specs-008-q05
exact-039,00-torque-specs-009,00-torque-specs-009-q01,What is the maximum tightening torque for an M16 8.8 screw?,200 Nm (ft. lbs.),1.0,kept,00-torque-specs-009-q01
exact-039,bmwtorquespecs-009,bmwtorquespecs-009-q01,What is the maximum tightening torque for an M16 8.8 screw?,200 Nm (ft. lbs.),1.0,dropped,00-torque-specs-009-q01
exact-040,00-torque-specs-009,00-torque-specs-009-q07,Which BMW standard document should I reference for the applicable range of tightening torques?,BMW N 600 02.0,1.0,kept,00-torque-specs-009-q07
exact-040,bmwtorquespecs-010,bmwtorquespecs-010-q04,Which BMW standard document should I reference for the applicable range of tightening torques?,BMW N 600 02.0,1.0,dropped,00-torque-specs-009-q07
exact-041,00-torque-specs-010,00-torque-specs-010-q01,What is the maximum tightening torque for an M18 8.8 screw?,280 Nm (ft. lbs.),1.0,kept,00-torque-specs-010-q01
exact-041,bmwtorquespecs-010,bmwtorquespecs-010-q01,What is the maximum tightening torque for an M18 8.8 screw?,280 Nm (ft. lbs.),1.0,dropped,00-torque-specs-010-q01
exact-042,00-torque-specs-010,00-torque-specs-010-q02,What torque specification should I use for an M18x1.5 12.9 thread?,527 Nm (ft. lbs.),1.0,kept,00-torque-specs-010-q02
exact-042,bmwtorquespecs-010,bmwtorquespecs-010-q02,What torque specification should I use for an M18x1.5 12.9 thread?,527 Nm (ft. lbs.),1.0,dropped,00-torque-specs-010-q02
exact-043,00-torque-specs-014,00-torque-specs-014-q05,Is there a settling time required for cylinder head bolts?,"No, there is no settling time and no warm-running time required.",1.0,kept,00-torque-specs-014-q05
exact-043,00-torque-specs-11-04,00-torque-specs-11-04-q06,Is there a settling time required for cylinder head bolts?,No settling time. No warm-running time.,1.0,dropped,00-torque-specs-014-q05
exact-043,bmwtorquespecs-014,bmwtorquespecs-014-q07,Is there a settling time required for cylinder head bolts?,No settling time. No warm-running time.,1.0,dropped,00-torque-specs-014-q05
exact-044,00-torque-specs-11-08,00-torque-specs-11-08-q07,What special instruction is given for cylinder head bolt installation?,"Fit new cylinder head bolts, do not wash away coating on cylinder head screws, and for repair work only use screws with Torx head",1.0,kept,00-torque-specs-11-08-q07
exact-044,00-torque-specs-018,00-torque-specs-018-q08,What special instruction is given for cylinder head bolt installation?,Fit new cylinder head bolts and do not wash away coating on cylinder head screws,1.0,dropped,00-torque-specs-11-08-q07
exact-045,00-torque-specs-018,00-torque-specs-018-q09,What type of screws should be used for repair work on cylinder head bolts?,Only use screws with Torx head,1.0,kept,00-torque-specs-018-q09
exact-045,bmwtorquespecs-014,bmwtorquespecs-014-q03,What type of screws should be used for repair work on cylinder head bolts?,Only use screws with Torx head,1.0,dropped,00-torque-specs-018-q09
exact-046,00-torque-specs-11-08,00-torque-specs-11-08-q10,Are the initial torque values the same for both 7AZ and 8AZ cylinder head bolts?,"Yes, both 7AZ and 8AZ cylinder head bolts have the same initial torque value of 30 Nm",1.0,kept,00-torque-specs-11-08-q10
exact-046,00-torque-specs-018,00-torque-specs-018-q10,Are the initial torque values the same for both 7AZ and 8AZ cylinder head bolts?,"Yes, both require 30 Nm initial torque",1.0,dropped,00-torque-specs-11-08-q10
exact-047,bmwtorquespecs-019,bmwtorquespecs-019-q05,What are the torque angle specifications for the S38 B36/S38 B38 cylinder head bolts?,60 degrees followed by 70 degrees,1.0,kept,bmwtorquespecs-019-q05
exact-047,00-torque-specs-019,00-torque-specs-019-q05,What are the torque angle specifications for the S38 B36/S38 B38 cylinder head bolts?,60° and 70°,1.0,dropped,bmwtorquespecs-019-q05
exact-048,00-torque-specs-030,00-torque-specs-030-q06,What section of the manual is this torque specification table from?,"Section 11-20 Engine, specifically 11 28 V-ribbed belt with tension and deflection element.",1.0,kept,00-torque-specs-030-q06
exact-048,00-torque-specs-019,00-torque-specs-019-q09,What section of the manual is this torque specification table from?,"11 - 9 Engine, section 11 12 Cylinder Head and Cover",1.0,dropped,00-torque-specs-030-q06
exact-048,00-torque-specs-11-20,00-torque-specs-11-20-q07,What section of the manual is this torque specification table from?,Section 11-20 Engine,1.0,dropped,00-torque-specs-030-q06
exact-048,00-torque-specs-111,00-torque-specs-111-q08,What section of the manual is this torque specification table from?,"Section 24-9 Automatic Transmission, subsection 24 30 Hydr./elec.control elements.",1.0,dropped,00-torque-specs-030-q06
exact-049,00-torque-specs-11-11,00-torque-specs-11-11-q01,What is the torque specification for the oil drain plug?,The oil drain plug has two torque specifications: M12 x 1.5 at 25 Nm and M22 x 1.5 at 60 Nm.,1.0,kept,00-torque-specs-11-11-q01
exact-049,00-torque-specs-021,00-torque-specs-021-q01,What is the torque specification for the oil drain plug?,The oil drain plug (1AZ) uses M12 x 1.5 screw and should be torqued to 25 Nm.,1.0,dropped,00-torque-specs-11-11-q01
exact-049,bmwtorquespecs-021,bmwtorquespecs-021-q01,What is the torque specification for the oil drain plug?,The oil drain plug has two torque specifications: M12 x 1.5 at 25 Nm and M22 x 1.5 at 60 Nm.,1.0,dropped,00-torque-specs-11-11-q01
exact-050,00-torque-specs-021,00-torque-specs-021-q07,What does the 'All' designation in the Type column indicate?,The 'All' designation indicates these specifications apply to all vehicle types/variants covered in this manual.,1.0,kept,00-torque-specs-021-q07
exact-050,bmwtorquespecs-091,bmwtorquespecs-091-q09,What does the 'All' designation in the Type column indicate?,The torque specifications apply to all vehicle types,1.0,dropped,00-torque-specs-021-q07
exact-051,bmwtorquespecs-088,bmwtorquespecs-088-q08,What section and subsection is this torque specification table from?,"Section 17-4 Radiator, subsection 17 22 Oil Cooler Pipes",1.0,kept,bmwtorquespecs-088-q08
exact-051,00-torque-specs-022,00-torque-specs-022-q08,What section and subsection is this torque specification table from?,"Section 11-12 Engine, subsection 11 14 Case covers",1.0,dropped,bmwtorquespecs-088-q08
exact-052,00-torque-specs-023,00-torque-specs-023-q01,What is the torque specification for the increment wheel on crankshaft?,M5 10.9 with 13 Nm (ft. lbs.),1.0,kept,00-torque-specs-023-q01
exact-052,00-torque-specs-11-13,00-torque-specs-11-13-q01,What is the torque specification for the increment wheel on crankshaft?,13 Nm (ft. lbs.),1.0,dropped,00-torque-specs-023-q01
exact-052,bmwtorquespecs-023,bmwtorquespecs-023-q01,What is the torque specification for the increment wheel on crankshaft?,M5 10.9 with 13 Nm (ft. lbs.),1.0,dropped,00-torque-specs-023-q01
exact-053,00-torque-specs-11-14,00-torque-specs-11-14-q05,What is the difference in torque between M40/M42/M43/M44/M51 Automatic/M52 Automatic and all other transmissions for new micro-encapsulated screws?,"M40/M42/M43/M44/M51 Automatic/M52 Automatic requires 120 Nm while all others require 105 Nm, a difference of 15 Nm.",1.0,kept,00-torque-specs-11-14-q05
exact-053,00-torque-specs-024,00-torque-specs-024-q05,What is the difference in torque between M40/M42/M43/M44/M51 Automatic/M52 Automatic and all other transmissions for new micro-encapsulated screws?,"M40/M42/M43/M44/M51 Automatic/M52 Automatic require 120 Nm while all others require 105 Nm, a difference of 15 Nm.",1.0,dropped,00-torque-specs-11-14-q05
exact-054,bmwtorquespecs-025,bmwtorquespecs-025-q01,What is the torque specification for the vee belt pulley on crankshaft?,190 Nm with M10 screw type.,1.0,kept,bmwtorquespecs-025-q01
exact-054,00-torque-specs-025,00-torque-specs-025-q01,What is the torque specification for the vee belt pulley on crankshaft?,190 Nm for M10 screw.,1.0,dropped,bmwtorquespecs-025-q01
exact-054,00-torque-specs-11-15,00-torque-specs-11-15-q01,What is the torque specification for the Vee belt pulley on crankshaft?,190 Nm with M10 screw.,1.0,dropped,bmwtorquespecs-025-q01
exact-055,bmwtorquespecs-125,bmwtorquespecs-125-q06,Which section of the manual does this page belong to?,27 - 2 Transfer Box - Four Wheel Drive,1.0,kept,bmwtorquespecs-125-q06
exact-055,00-torque-specs-026,00-torque-specs-026-q05,Which section of the manual does this page belong to?,Section 11-16 Engine,1.0,dropped,bmwtorquespecs-125-q06
exact-056,00-torque-specs-027,00-torque-specs-027-q01,What is the torque specification for the vee belt pulley/vibration damper on hub for S38 B36 engines?,34 Nm using M8 10.9 screw.,1.0,kept,00-torque-specs-027-q01
exact-056,bmwtorquespecs-027,bmwtorquespecs-027-q01,What is the torque specification for the vee belt pulley/vibration damper on hub for S38 B36 engines?,34 Nm with M8 10.9 screw.,1.0,dropped,00-torque-specs-027-q01
exact-057,00-torque-specs-027,00-torque-specs-027-q03,What is the torque specification for sprocket with hub or hub to crankshaft replace screw on M40 engines?,310 Nm using M16 x 1.5 screw.,1.0,kept,00-torque-specs-027-q03
exact-057,bmwtorquespecs-027,bmwtorquespecs-027-q03,What is the torque specification for sprocket with hub or hub to crankshaft replace screw on M40 engines?,310 Nm with M16 x 1.5 screw.,1.0,dropped,00-torque-specs-027-q03
exact-058,00-torque-specs-13-06,00-torque-specs-13-06-q07,What section and subsection does this torque specification table cover?,"Section 13-6 Fuel metering and regulation system, subsection 13 53 Fuel Injection Nozzles and Pipes.",1.0,kept,00-torque-specs-13-06-q07
exact-058,00-torque-specs-027,00-torque-specs-027-q09,What section and subsection does this torque specification table cover?,"Section 11-17 Engine, subsection 11 23 Vibration Damper.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-032,00-torque-specs-032-q10,What section and subsection does this torque specification table cover?,"Section 11-22 Engine, subsection 11 31 Camshaft.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-038,00-torque-specs-038-q08,What section and subsection does this torque specification table cover?,"Section 11-28 Engine, subsection 11 42 Oil Filter and Pipes.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-059,00-torque-specs-059-q08,What section and subsection does this torque specification table cover?,"Section 12-9 Engine electrics, subsection 12 41 Starter and Mounting Parts",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-085,00-torque-specs-085-q10,What section and subsection does this torque specification table cover?,"Section 17-1 Radiator, subsection 17 00 Coolant",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-091,00-torque-specs-091-q06,What section and subsection does this torque specification table cover?,"Section 21-1 Clutch, subsection 21 11 Bell housing",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-093,00-torque-specs-093-q09,What section and subsection does this torque specification table cover?,"Section 21-3 Clutch, subsection 21 52 Clutch operation (hydraulic)",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-095,00-torque-specs-095-q08,What section and subsection does this torque specification table cover?,"This covers section 23-2 Manual transmission, subsection 23 00 Transmission Assembly.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-113,00-torque-specs-113-q08,What section and subsection does this torque specification table cover?,"Section 24-11 Automatic Transmission, subsection 24 32 Governor.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-23-02,00-torque-specs-23-02-q08,What section and subsection does this torque specification table cover?,"Section 23-2 Manual transmission, subsection 23 00 Transmission Assembly.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,00-torque-specs-24-01,00-torque-specs-24-01-q09,What section and subsection does this torque specification table cover?,"Section 24-1 Automatic Transmission, subsection 24 00 Transmission in General",1.0,dropped,00-torque-specs-13-06-q07
exact-058,bmwtorquespecs-044,bmwtorquespecs-044-q08,What section and subsection does this torque specification table cover?,"This covers section 11-34 Engine, subsection 11 62 Exhaust manifold.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,bmwtorquespecs-082,bmwtorquespecs-082-q09,What section and subsection does this torque specification table cover?,"Section 16-2 Fuel tank and fuel lines, subsection 16 12 Fuel Supply",1.0,dropped,00-torque-specs-13-06-q07
exact-058,bmwtorquespecs-113,bmwtorquespecs-113-q08,What section and subsection does this torque specification table cover?,"Section 24-11 Automatic Transmission, subsection 24 32 Governor.",1.0,dropped,00-torque-specs-13-06-q07
exact-058,bmwtorquespecs-123,bmwtorquespecs-123-q10,What section and subsection does this torque specification table cover?,"Section 26-2 Propeller Shaft, subsection 26 11 Propeller Shaft Complete.",1.0,dropped,00-torque-specs-13-06-q07
exact-059,00-torque-specs-034,00-torque-specs-034-q09,What component connects the toothed belt pulley according to this specification?,Intermediate shaft,1.0,kept,00-torque-specs-034-q09
exact-059,00-torque-specs-11-24,00-torque-specs-11-24-q08,What component connects the toothed belt pulley according to this specification?,Intermediate shaft,1.0,dropped,00-torque-specs-034-q09
exact-060,bmwtorquespecs-035,bmwtorquespecs-035-q01,What is the torque specification for the banjo bolt to VANOS controller?,32 Nm with M14 x 1.5 screw specification.,1.0,kept,bmwtorquespecs-035-q01
